value,freq
895,1
777,2
3770,2
543,1
1834,1
2790,4
4321,1
6450,1
495,5
1372,3
5750,2
253,4
510,7
2163,1
812,5
3087,1
6467,1
3654,3
64,6
3048,2
3822,2
4350,3
5404,1
4650,3
1189,1
2883,1
2880,7
4110,1
4816,1
987,2
6090,2
333,2
578,1
276,6
500,6
975,4
1200,11
1891,1
1088,3
1060,3
2044,2
3328,2
4320,5
3423,1
4425,1
1727,1
2343,1
1551,1
3664,1
3791,1
5126,1
1320,10
308,7
780,10
3260,1
4720,1
2796,1
1455,1
4470,1
3608,1
1832,1
5751,1
1195,1
2390,1
2943,1
2781,1
723,1
6615,1
2898,4
1963,1
3465,2
4233,1
251,2
280,9
6840,1
153,5
430,3
416,6
1833,1
1526,2
3768,1
6138,1
289,1
956,1
2629,1
3948,2
516,4
220,9
366,3
2688,6
2442,2
1554,3
2720,3
5700,2
6014,1
6417,1
5936,1
1248,7
3014,1
1120,8
2533,1
1130,2
1392,6
137,2
1490,1
3759,1
3258,1
5916,1
3885,1
3952,3
1695,1
5150,1
5562,1
6390,1
1643,1
6526,1
187,4
1344,9
532,5
4460,1
5800,2
7719,1
4410,3
573,1
6989,1
2294,1
3674,1
1222,2
2782,2
5275,1
4047,1
3020,1
3575,1
4396,1
3857,2
480,13
4392,2
682,3
2076,1
5014,1
1472,3
2148,1
4851,1
610,2
2412,2
2862,2
1434,1
2387,2
1673,1
943,1
7047,1
7657,1
1057,1
1606,2
832,5
976,3
1521,2
5096,2
5543,1
1506,1
5020,1
533,1
3132,3
2346,2
1750,4
2640,8
1507,1
996,3
4940,2
7812,1
208,8
2093,2
1845,2
2506,1
5925,1
1364,3
1208,1
2060,2
642,2
5616,3
4991,2
5346,2
5538,1
4770,1
1748,2
2919,1
2244,4
5162,1
7285,1
116,5
2580,4
2538,2
1267,1
4114,2
6540,1
3926,1
3159,2
1510,1
2834,2
1235,3
1444,1
2821,2
2025,4
3082,1
4371,1
5790,1
580,5
1633,1
202,3
872,2
1269,2
87,4
940,4
3441,1
889,1
1624,5
2525,1
1470,7
3611,1
4530,1
5238,1
786,1
